Customer_ID,Name,Age,SSN,Occupation,Annual_Income,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_Credit_Inquiries,Credit_Mix,Outstanding_Debt,Total_EMI_per_month
CUS_0xd40,Aaron Maashoh,23,821-00-0265,Scientist,19114.12,3,4,3,4.0,Good,809.98,49.57494921489417
CUS_0x21b1,Rick Rothackerj,28,004-07-5839,Teacher,34847.84,2,4,6,2.0,Good,605.03,18.816214573128885
CUS_0x2dbc,Langep,34,486-85-3974,Engineer,143162.64,1,5,8,3.0,Good,1303.01,246.9923194537421
CUS_0xb891,Jasond,55,072-31-6145,Entrepreneur,30689.89,2,5,4,4.0,Good,632.46,16.415451659824875
CUS_0x1cdb,Deepaa,21,615-06-7821,Developer,35547.71,7,5,5,4.0,Standard,943.86,0.0
CUS_0x95ee,Np,31,612-70-8987,Lawyer,73928.46,4,5,8,2.0,Good,548.2,15515.0
CUS_0x284a,Nadiaq,34,411-51-0676,Lawyer,131313.4,0,1,8,4.0,Good,352.16,911.2201793459374
CUS_0x5407,Annk,30,500-92-6408,Media_Manager,34081.38,8,7,15,5.0,Standard,1704.18,70.47833267207261
CUS_0x4157,Charlie Zhur,23,070-19-1622,Doctor,114838.41,2,5,7,3.0,Good,1377.74,226.8927919215432
CUS_0xba08,Jamesj,44,366-68-1681,Journalist,31370.8,0,5,12,2.0,Good,421.43,46.61612907334207
CUS_0xa66b,Saphirj,41,221-30-8554,Teacher,33751.27,5,5,20,8.0,Standard,1328.93_,65.00817428651536
CUS_0xc0ab,Soyoungd,32,342-90-2649,Engineer,88640.24,3,6,1,3.0,Good,950.36,135.17337097171767
CUS_0x3e45,Harriet McLeodd,35,414-53-2918,Entrepreneur,54392.16,6,4,14,3.0,Standard,179.22,124.39208242092045
CUS_0x6c66,Sinead Carews,39,328-33-6328,Manager,8701.545,6,5,32,6.0,Standard,2602.69,36.54819717138717
CUS_0xff4,Poornimaf,36,655-05-7666,Entrepreneur,25546.26,8,7,14,5.0,Standard,758.44,101.3286373638512
CUS_0x33d2,Chalmersa,30,965-46-2491,Scientist,31993.78,6,6,7,0.0,Standard,818.22,45.14129822463578
CUS_0x6070,Parkm,20,891-55-9364,Accountant,92047.08,6,7,16,0.0,Standard,1296.64,0.0
CUS_0xfdb,Patrickg,45,928-91-4452,Teacher,32284.62,6,7,17,8.0,Standard,1283.37,103.03756035536594
CUS_0x3553,Laurence Frosty,26,084-25-3745,Musician,97791.42,6,6,12,1.0,Standard,107.41,0.0
CUS_0x4100,Reema,31,068-83-4394,Entrepreneur,19300.34,6,7,17,7.0,Bad,2430.21,49.57206224445275
CUS_0x132f,Mark Felsenthald,41,561-60-9294,Musician,19514.88,7,5,17,2.0,Standard,881.4,0.0
CUS_0xa16e,Lee Chyenz,41,905-50-7912,Media_Manager,10183.015,7,5,17,6.0,Bad,1672.43,37.58807283812568
CUS_0xac86,Nickb,20,028-16-4402,Entrepreneur,106733.13,4,4,1,0.0,Good,76.23,0.0
